NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
DOCK8	1	DOCK8	
HS3ST3B1	1	HS3ST3B1	
SCO1	1	SCO1	
ADPRM	1	ADPRM	
GAS7	1	GAS7	
MYHAS	1	MYHAS	
MAGOH2P	1	MAGOH2P	
PIRT	1	PIRT	
TMEM220	1	TMEM220	
MYH1	1	MYH1	
MYH2	1	MYH2	
MYH3	1	MYH3	
MYH8	1	MYH8	
MYH4	1	MYH4	
GXYLT1P3	1	GXYLT1P3	
FAM95B1	1	FAM95B1	
SKP1P3	1	SKP1P3	
RBPJP5	1	RBPJP5	
VN2R3P	1	VN2R3P	
CDRT15P14	1	C2orf27AP3	
MIR4477A	1	MIR4477A	
SLC25A51	1	SLC25A51	
BMS1P14	1	BMS1P14	
RAB28P1	1	RAB28P1	
CNTNAP3	1	CNTNAP3	
SNX18P8	1	SNX18P8	
CBWD6	1	CBWD7	
FOXD4L6	1	FOXD4L6	
AQP7P3	1	AQP7P3	
PAICSP1	1	PAICSP1	
DCAF10	1	DCAF10	
MIR1299	1	MIR1299	
ATP5F1AP8	1	ATP5A1P8	
RBM17P1	1	RBM17P1	
FKBP4P2	1	FKBP4P2	
SPATA31A1	1	SPATA31A1	
PGM5P2	1	PGM5P2	
TMX2P1	1	TMX2P1	
GLIDR	1	GLIDR	
FAM74A1	1	FAM74A1	
CNN2P2	1	CNN2P2	
ALDH1B1	1	ALDH1B1	
ANKRD20A2P	1	ANKRD20A2	
SEC63P2	1	SEC63P2	
HMGN2P16	1	HMGN2P16	
PFKP	1	PFKP	
FTH1P12	1	FTH1P12	
PSIP1	1	PSIP1	
SNAPC3	1	SNAPC3	
TUSC1	1	TUSC1	
ENO1	1	ENO1	
RBP7	1	RBP7	
DFFA	1	DFFA	
MZT1P1	1	MZT1P1	
VAMP3	1	VAMP3	
GPR157	1	GPR157	
SPSB1	1	SPSB1	
NMNAT1	1	NMNAT1	
CENPS	1	APITD1	
CLSTN1	1	CLSTN1	
PARK7	1	PARK7	
CTNNBIP1	1	CTNNBIP1	
PGD	1	PGD	
UTS2	1	UTS2	
TNFRSF9	1	TNFRSF9	
PIK3CD	1	PIK3CD	
MIR6728	1	MIR6728	
HMGN2P17	1	HMGN2P17	
SLC25A33	1	SLC25A33	
ERRFI1	1	ERRFI1	
SLC45A1	1	SLC45A1	
KIF1B	1	KIF1B	
MIR5697	1	MIR5697	
PER3	1	PER3	
PGAM1P11	1	PGAM1P11	
LZIC	1	LZIC	
UBE4B	1	UBE4B	
H6PD	1	H6PD	
CAMTA1	1	CAMTA1	
RERE	1	RERE	
MIR34A	1	MIR34A	
