1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
TCGA-DX-A6Z2-01A-12D-A40C-01	1.0746	0	0	7.3531	0	0	0	16.9362	0	0.8067	0	0	0	0	0	0	0	0	0.2604	0	0	0
TCGA-DX-AB2J-10A-01D-A389-01	0	0	5.5506	0	0	0	0	0	4.0004	0	5.5058	0	0	0	0	0	0	6.3022	0	0	7.3762	0
TCGA-DX-AB2W-10A-01D-A38Y-01	0	0	0.9504	11.5358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DX-A8BJ-10B-01D-A419-01	0	0	0	0	0.8216	1.966	0	0.9003	0	0	0	0	0	0	0	0	0	0	0	0	0.9029	0
TCGA-DX-A48R-10A-01D-A306-01	5.2451	0	0	0	0	0	0.9637	0	0	0	0	0	0	0	0	3.5655	6.2674	0	0	0	0	0
TCGA-DX-AB2E-01A-11D-A38Y-01	9.2469	1.8381	12.4082	6.7349	27.8112	3.3542	3.3674	24.232	26.311	4.941	6.1107	0.3159	0	0.8409	0	2.0411	0	0	2.6215	9.0548	1.1882	0
TCGA-DX-A7EQ-11B-01D-A389-01	0	0	0	0	0	0	0	1.9223	0	0	0	3.3037	0	2.8029	0	0	0	0	0	0	0	0
TCGA-DX-A8BO-01A-11D-A416-01	2.9231	13.1165	3.9069	5.6637	0.4951	5.2675	5.2641	8.4255	7.6309	0	9.6978	4.4045	0	1.499	1.933	1.0144	8.5979	7.1693	0.9314	3.3205	0	5.1163
TCGA-IF-A4AK-01A-21D-A24M-01	0	0.2614	0.2684	0	0	0	0.2988	0	0	0	0	0.3776	1.1384	0	0.2573	0	25.9524	0.5368	0	0	0	0.7774
TCGA-DX-A3UA-10A-01D-A306-01	0.967	0	0	0.9514	4.0587	0	0	0	0	0	0	0	0	0	0	3.631	0	0	0	0	0	0
TCGA-DX-AB2J-01A-11D-A386-01	0.5835	0	0	0	0	0	0	0	0	5.7002	0	25.086	0	0	0	0	0	0	0	2.2389	0	0
TCGA-X6-A8C5-01A-11D-A36I-01	0	1.1137	0	0	0.2861	0	0	0	0	0	0	0	9.4396	0	0	0	1.3952	0	0	0	0	0
TCGA-DX-A1L0-01A-11D-A24M-01	228.9772	9.6767	7.5295	10.2208	56.3869	162.8879	5.5298	26.9663	19.0946	3.0778	5.1495	475.4103	7.4675	37.1372	18.2211	31.8634	13.2773	20.7919	13.2942	9.4278	0.72	0.2906
TCGA-DX-A6YZ-01A-12D-A350-01	4.1095	11.4894	10.9895	9.4015	5.1531	27.746	9.1287	17.2163	5.2076	9.9889	4.9493	88.5072	0	0	69.2144	0.8304	68.4232	2.9451	4.1808	10.8541	1.8664	1.4689
TCGA-DX-A240-10A-01D-A27O-01	0	0	0	4.7711	0	4.0499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-DX-A48N-10A-01D-A306-01	0	0	0	5.0051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-SG-A849-01A-11D-A350-01	10.9905	0	5.6659	5.0862	2.5375	0.2872	8.6362	13.4473	3.6642	0.6299	0	0	0	7.6595	2.1174	0	1.4681	2.8674	0.8686	0	0	0.8226
TCGA-PC-A5DO-01A-11D-A26F-01	20.7496	33.8596	10.0214	12.7342	10.0246	5.1874	3.6861	2.8244	0	9.7586	2.9869	4.1347	0.286	11.1209	6.8737	0.6569	20.3125	22.7224	5.3107	2.3827	3.7641	2.1122
TCGA-KD-A5QS-01A-11D-A27O-01	39.7891	14.9966	31.3363	4.0686	23.4302	7.29	4.5555	13.1165	24.7264	6.6883	5.5237	0.8825	28.2502	0.7524	6.2372	8.3367	32.1755	18.7405	4.598	14.2241	13.7154	1.2239
TCGA-UE-A6QU-10B-01D-A32H-01	0	0	1.0441	0	0	0	3.5029	0	3.1053	0	0	3.3826	0	0	4.3206	3.0788	0	0	1.0716	0	0	2.8035
TCGA-IS-A3K7-01A-11D-A21P-01	9.8735	17.042	10.3382	10.5778	5.1213	8.0802	2.626	0	10.3206	0.9638	3.1076	61.2354	2.4337	1.2837	3.7421	4.6366	3.6148	0	0.2933	8.9213	0	0
TCGA-PC-A5DN-10A-01D-A27O-01	0	0	0	0	0	5.1093	0	1.7094	0	0	3.5247	0	0	0	0	2.8232	3.8624	0	0	0	0.8991	0
TCGA-QQ-A8VB-01A-11D-A37B-01	8.4914	7.3775	11.7002	5.3692	5.6747	0	10.5324	2.2368	0	0	0	2.5975	0	2.1864	0.3076	1.8515	6.3233	0.3177	7.5832	0	5.5068	0
TCGA-DX-A48L-01A-11D-A306-01	4.9711	46.2711	1.347	0	11.4389	0	3.4844	1.4716	1.0981	0.3659	8.4419	3.8978	19.0459	3.79	4.3951	0.2828	70.3418	14.5319	1.4554	2.7176	0	0
TCGA-DX-A48P-10A-01D-A306-01	13.5221	10.2321	15.0341	4.6534	0	0	0	0	0	9.32	0	6.3617	0	0	0	0	0	0	0	6.1156	0	0
TCGA-X6-A8C7-10A-01D-A36L-01	0	2.8109	0	0	3.411	0	0	0	0	0	0	0	0	0	0	0	0	4.0797	0	0	0	0
TCGA-DX-A7EQ-01A-11D-A386-01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7176	0	0	0	0	0	0
TCGA-QC-A7B5-11A-11D-A33G-01	0	0	0	3.3354	0	0	0	0	0	0	0	0	1.0216	0	3.4907	0	0	0	0	0.9053	0	0
